decision_key,decision_status,resolved_policy_item_id,applied_status,applied_primary_strategy_id,applied_secondary_strategy_ids,reviewer_name,reviewer_notes
SRD-POL-001-3667e53dbbac,no_strategy,ITM-POL-001-01000,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-d99be0e41d7f,no_strategy,ITM-POL-001-01001,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-198fbfd765ba,no_strategy,ITM-POL-001-01003,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-e3ad12b542db,no_strategy,ITM-POL-001-01004,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-4a73ae00ace7,no_strategy,ITM-POL-001-01005,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-ca1dc164946f,no_strategy,ITM-POL-001-01006,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-bdce6b37c0e6,no_strategy,ITM-POL-001-01007,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-7face6b5f3c7,no_strategy,ITM-POL-001-01009,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-e5ad35e9bce4,no_strategy,ITM-POL-001-01010,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-33173f2bc248,no_strategy,ITM-POL-001-01013,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-21c4f7680179,no_strategy,ITM-POL-001-01014,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-500b50efae09,no_strategy,ITM-POL-001-01016,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-23699d93530d,no_strategy,ITM-POL-001-01017,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-d523b73f5c8f,no_strategy,ITM-POL-001-01018,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
